STATE,SOC_NAME,COUNTER
 WISCONSIN,"Software Developers, Applications",1893
 WISCONSIN,COMPUTER PROGRAMMERS,1801
 WISCONSIN,"COMPUTER OCCUPATIONS, ALL OTHER",1358
 WISCONSIN,"Computer Occupations, All Other",1004
 WISCONSIN,Mechanical Engineers,506
 WISCONSIN,COMPUTER SYSTEMS ANALYST,466
 WYOMING,"Internists, General",55
 WYOMING,"PHYSICIANS AND SURGEONS, ALL OTHER",33
 WYOMING,"Physicians and Surgeons, All Other",23
 WYOMING,"Geoscientists, Except Hydrologists and Geographers",23
 WYOMING,Soil and Plant Scientists,21
 WYOMING,"INTERNISTS, GENERAL",18
 WYOMING,Chemists,17
 WYOMING,Petroleum Engineers,17
 WYOMING,COMPUTER SYSTEMS ANALYSTS,16
 WYOMING,"Mechanical Engineers, R&D",15
